STORE NAME,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,CENSUS TRACT,LATITUDE,LONGITUDE
JERUSALEM LIQUORS,4500,B,3133 W LAWRENCE AVE,60625,17031140800,41.9683547002,-87.7073943249
JEWEL FOOD STORE,62603,A,11730 S MARSHFIELD AVE,60643,17031750500,41.6803322053,-87.6625846787
JEWEL FOOD STORE #3030,31951,A,7530 S STONY ISLAND AVE,60649,17031834200,41.7578056585,-87.5862682580
JEWEL FOOD STORE #3043,37641,A,443 E 34TH ST,60616,17031351000,41.8330447382,-87.6146113644
JEWEL FOOD STORE #3057,21785,A,6057 S WESTERN AVE,60636,17031835000,41.7830611377,-87.6835988697
JEWEL FOOD STORE #3092,10001,A,1655 E 95TH ST,60617,17031510300,41.7222631981,-87.5829176346
JEWEL FOOD STORE #3114,20860,A,3128 W 103RD ST,60655,17031740100,41.7063128446,-87.6997671192
JEWEL FOOD STORE #3139,22295,A,3940 E 106TH ST,60617,17031520400,41.7028060951,-87.5277040116
JEWEL FOOD STORE #3170,30374,A,5320 S PULASKI RD,60632,17031620200,41.7961975914,-87.7233918834
JEWEL FOOD STORE #3176,32294,A,9400 S ASHLAND AVE,60620,17031730300,41.7229412182,-87.6628628713
JEWEL FOOD STORE #3181,30745,A,87 W 87TH ST,60620,17031842400,41.7361451282,-87.6269178440
JEWEL FOOD STORE #3210,23845,A,1210 N CLARK ST,60610,17031080202,41.9042652283,-87.6316032946
JEWEL FOOD STORE #3224,29299,A,6430 W IRVING PARK RD,60634,17031170100,41.9530102332,-87.7877071626
JEWEL FOOD STORE #3241,24262,A,1341 N PAULINA ST,60622,17031241500,41.9062437031,-87.6698622813
JEWEL FOOD STORE #3282,24922,A,4729 N CENTRAL AVE,60630,17031150300,41.9667971120,-87.7672994806
JEWEL FOOD STORE #3296,29421,A,7342 W FOSTER AVE,60656,17031100500,41.9745429477,-87.8113468842
JEWEL FOOD STORE #3302,25431,A,3644 S ARCHER AVE,60609,17031590500,41.8275838968,-87.6824544425
JEWEL FOOD STORE #3344,63407,A,1220 S ASHLAND AVE,60608,17031842900,41.8662541761,-87.6665241401
JEWEL FOOD  STORE # 3345,60271,A,1224 S WABASH AVE,60605,17031330100,41.8667243541,-87.6259611484
JEWEL FOOD STORE #3349,64285,A,2520 N NARRAGANSETT AVE,60639,17031831500,41.9262969563,-87.7856948240
JEWEL FOOD STORE #3368,31600,A,550 N STATE ST,60610,17031081600,41.8924213661,-87.6282348711
JEWEL FOOD STORE #3407,19238,A,5516 N CLARK ST,60640,17031030900,41.9821898846,-87.6686516280
JEWEL FOOD STORE #3441,22443,A,2940 N ASHLAND AVE,60657,17031062600,41.9354720327,-87.6686545431
JEWEL FOOD STORE #3442,29060,A,4042 W FOSTER AVE,60630,17031130200,41.9756241124,-87.7298445616
JEWEL FOOD STORE #3443,25356,A,5343 N BROADWAY,60640,17031030703,41.9794282549,-87.6598058547
JEWEL FOOD STORE #3454,25490,A,4250 N LINCOLN AVE,60618,17031050200,41.9591004330,-87.6823922417
JEWEL FOOD STORE #3455,23660,A,4355 N SHERIDAN RD,60613,17031032100,41.9613977799,-87.6545929748
JEWEL FOOD STORE #3470,24815,A,3570 N ELSTON AVE,60618,17031831100,41.9460576040,-87.7082301098
JEWEL FOOD STORE #3477,17676,A,4734 N CUMBERLAND AVE,60656,17031760802,41.9660114013,-87.8368311691
JEWEL FOOD STORE #3501,56010,A,3400 N WESTERN AVE,60618,17031843700,41.9431873732,-87.6883020207
JEWEL FOOD STORE #3514,20285,A,3531 N BROADWAY,60657,17031061800,41.9463846516,-87.6465248633
JEWEL FOOD STORE #3721,49513,A,6107 S ARCHER AVE,60638,17031560800,41.7943548532,-87.7705271521
JEWEL FOOD STORES #3262,35000,A,4660 W IRVING PARK RD,60641,17031831700,41.9535544384,-87.7450553112
JEWEL-OSCO #3632,62349,A,3630 N SOUTHPORT AVE,60613,17031060400,41.9480045508,-87.6641862307
J & J EUROPEAN DELI,3000,B,5960 W LAWRENCE AVE,60630,17031150401,41.9677648001,-87.7770202043
J K & S FOOD & LIQUOR,3024,B,503 W 59TH ST,60621,17031834600,41.7870390747,-87.6378127282
JOE'S FOOD AND LIQUOR DEPOT,4000,B,5834 W FULLERTON AVE,60639,17031190602,41.9239918266,-87.7722891067
JOE'S FOOD & LIQUOR,3500,B,3626 W LAWRENCE AVE,60625,17031140301,41.9684452460,-87.7194165758
JOLANTA'S INTERNATIONAL DELI,10001,A,5914 W HIGGINS AVE,60630,17031110400,41.9727914969,-87.7763718583
JOSEPH FOOD MART,3000,B,8235 W IRVING PARK RD,60634,17031170500,41.9520185577,-87.8331668434
J R GROCERY STORE,10001,A,505 E 134TH ST,60827,17031540101,41.6517610645,-87.6093666123
KAMDAR PLAZA INC,5500,B,2646 W DEVON AVE,60659,17031020602,41.9977219015,-87.6966411029
"Kan-Zaman Mart, Inc.",4600,B,2005 S MICHIGAN AVE,60616,17031330100,41.8553176710,-87.6237265152
KAPS FOODS,4100,B,3557 S CALIFORNIA AVE,60632,17031580100,41.8283836447,-87.6946201700
K BUENA,3500,B,4322 W MARQUETTE RD,60629,17031650301,41.7713833198,-87.7309533689
KEY FOOD LIQUOR,3800,B,13355 S INDIANA AVE,60827,17031540101,41.6519728186,-87.6170837363
KHALIL FOOD & LIQUOR,3000,B,146 W 103RD ST,60628,17031490700,41.7072181390,-87.6277515583
KING FOOD & LIQUOR,3750,B,6858 S HALSTED ST,60621,17031681100,41.7689262968,-87.6446559970
K & K FOOD & LIQUOR,4200,B,1130 W 51ST ST,60609,17031611000,41.8015768439,-87.6537884728
KOL TUV KOSHER FOODS INC,3000,B,2938 W DEVON AVE,60659,17031020601,41.9976012808,-87.7036126719
KORDIAN'S MARKET,4610,B,6332 W HIGGINS AVE,60630,17031110300,41.9759840467,-87.7865613104
"KRAKUS DELI,  INC",3500,B,5155 W ADDISON ST,60641,17031151001,41.9458951009,-87.7566458523
LA CASA DEL PUEBLO INC,10001,A,1810 S BLUE ISLAND AVE,60608,17031310600,41.8574527464,-87.6616883311
LA CIENEGA SUPER FOOD INC,10000,A,10736 S EWING AVE,60617,17031520300,41.6998148465,-87.5354268905
LA FERIA GROCERY,10001,A,9704 S COMMERCIAL AVE,60617,17031510100,41.7189121563,-87.5511742972
LA GUERRERENSE,3000,B,4149 W ARMITAGE AVE,60639,17031831200,41.9170000028,-87.7309892645
LA INTERNATIONAL,3000,B,4301 S ARCHER AVE,60632,17031580502,41.8153006937,-87.7020416008
LA JALISCIENCE,3000,B,3239 W 26TH ST,60623,17031840800,41.8443879922,-87.7064970959
